Coin,Date,Price,Market_Cap,Volume,Supply,Category,Log_Return,Volatility_30d,Peg_Deviation
BUSD,2020-01-01,1.0029264572,17057969.7891963,4504462.38,17008196.03,Fiat-backed,NA,NA,0.0029264572000000655
Tether USDt,2020-01-01,1.0015652852,4114474717.247,24212314977.04,4108044456.1,Fiat-backed,NA,NA,0.0015652852000000994
TrueUSD,2020-01-01,1.0005220126,152975433.331596,198862653.88,152895619.89,Fiat-backed,NA,NA,5.220126000000658e-4
USDC,2020-01-01,1.0050170061,517456713.136085,318268134.28,514873589.18,Fiat-backed,NA,NA,0.00501700610000011
sUSD,2020-01-01,0.9773938955,10503383.5689719,4233.22,10746315.91,Crypto-backed/Algorithmic,NA,NA,0.0226061045
BUSD,2020-01-02,1.004716956,17088422.94276,9269972.15,17008196.03,Fiat-backed,0.0017836825632848953,NA,0.004716955999999994
Tether USDt,2020-01-02,1.0041924478,4125267217.83688,32420287855.79,4108044456.1,Fiat-backed,0.002619622558764248,NA,0.004192447799999943
TrueUSD,2020-01-02,1.0066868147,154076136.831546,284264910.25,153052701.78,Fiat-backed,0.006142680722208404,NA,0.006686814700000099
USDC,2020-01-02,1.0052729862,517055937.199889,374792166.54,514343809.4,Fiat-backed,2.54669826108502e-4,NA,0.005272986200000052
sUSD,2020-01-02,1.0058047816,10740972.4224609,5130.35,10678983.26,Crypto-backed/Algorithmic,0.028653538588388247,NA,0.005804781599999975
BUSD,2020-01-03,1.0084740881,17152324.9822023,5469981.37,17008196.03,Fiat-backed,0.003732518553512203,NA,0.008474088100000055
Tether USDt,2020-01-03,1.0074723098,4138741036.90707,21585629319.65,4108044456.1,Fiat-backed,0.003260846414763691,NA,0.007472309800000021
TrueUSD,2020-01-03,1.0103948488,154432864.720465,194825761.85,152844073.68,Fiat-backed,0.0036766367411814375,NA,0.010394848800000078
USDC,2020-01-03,1.009466062,518956313.158543,334494308.15,514089906.23,Fiat-backed,0.004162406896037524,NA,0.009466061999999997
sUSD,2020-01-03,0.9923204337,9771523.20522278,2087.51,9847145.01,Crypto-backed/Algorithmic,-0.013497204784626203,NA,0.007679566299999996
BUSD,2020-01-04,1.0082079622,17147798.6615765,6417221.16,17008196.03,Fiat-backed,-2.639245006472904e-4,NA,0.008207962199999974
Tether USDt,2020-01-04,1.0061966885,4133500727.77428,24090142145.91,4108044456.1,Fiat-backed,-0.0012669624170723532,NA,0.006196688499999992
TrueUSD,2020-01-04,1.0095846606,154620833.581993,161417972.89,153152914.87,Fiat-backed,-8.02174714817729e-4,NA,0.009584660600000072
USDC,2020-01-04,1.0084966606,518272576.965573,334597544.18,513906091.31,Fiat-backed,-9.607724302466207e-4,NA,0.008496660600000094
sUSD,2020-01-04,0.9891815124,9637266.54871263,1037.93,9742667.48,Crypto-backed/Algorithmic,-0.0031682269419890624,NA,0.010818487600000037
BUSD,2020-01-05,1.0015909334,26722281.0935239,9634691.37,26679835.25,Fiat-backed,-0.006584790870079759,NA,0.0015909333999999387
Tether USDt,2020-01-05,1.0029025199,4639019503.34947,29460474864.01,4625593625.76,Fiat-backed,-0.003279252252165752,NA,0.0029025198999999002
TrueUSD,2020-01-05,1.005699255,153057325.771484,199163623.01,152189956.4,Fiat-backed,-0.0038559434569365504,NA,0.005699254999999903
USDC,2020-01-05,1.0031192829,511424006.588031,383494515.72,509833691.1,Fiat-backed,-0.005346339122026232,NA,0.0031192828999999644
sUSD,2020-01-05,0.9895066122,9239561.72389688,6082.71,9337544.2,Crypto-backed/Algorithmic,3.286013585300445e-4,NA,0.010493387799999976
BUSD,2020-01-06,1.0007283666,26943242.01689,17377526.79,26923631.74,Fiat-backed,-8.615677363314025e-4,NA,7.283665999999744e-4
Tether USDt,2020-01-06,1.0017233126,4633564969.30161,32765511975.58,4625593625.76,Fiat-backed,-0.0011764863216822028,NA,0.0017233126000000265
TrueUSD,2020-01-06,1.0034495326,153066652.613345,312812571.66,152540459.32,Fiat-backed,-0.002239479081022914,NA,0.003449532599999916
USDC,2020-01-06,0.9994998951,478340351.457426,400308773.63,478579691.51,Fiat-backed,-0.0036146580244470106,NA,5.001048999999647e-4
sUSD,2020-01-06,1.0122000344,9645210.58639682,9383.99,9528956.98,Crypto-backed/Algorithmic,0.022675045380231084,NA,0.012200034399999948
BUSD,2020-01-07,1.0057442495,25015530.0516387,19895939.25,24872655.31,Fiat-backed,0.004999712737969405,NA,0.005744249499999965
Tether USDt,2020-01-07,1.0042525795,4630671669.59305,35175740303.53,4611062758.45,Fiat-backed,0.0025217334368681016,NA,0.004252579499999909
TrueUSD,2020-01-07,1.0067714159,148283119.451167,308785632.47,147285786.14,Fiat-backed,0.0033049962256364086,NA,0.006771415900000077
USDC,2020-01-07,1.0046034629,463207216.467615,410892667.7,461084630.47,Fiat-backed,0.005093129365629808,NA,0.0046034629000000216
sUSD,2020-01-07,1.0007538591,8563296.83718472,1336.8,8556846.18,Crypto-backed/Algorithmic,-0.011372638692263404,NA,7.538591000000316e-4
BUSD,2020-01-08,1.0074604186,24901096.0852135,10999843.3,24716699.16,Fiat-backed,0.0017049131098258363,NA,0.007460418600000018
Tether USDt,2020-01-08,1.0065730949,4641371711.31941,28026673217.29,4611062758.45,Fiat-backed,0.0023080234747873095,NA,0.0065730949000000205
TrueUSD,2020-01-08,1.0081329883,148680609.421384,478477935.65,147481146.98,Fiat-backed,0.001351500949038393,NA,0.008132988300000088
USDC,2020-01-08,1.0070308241,460038833.732773,307584171.4,456826963.72,Fiat-backed,0.002413323727670064,NA,0.00703082410000011
sUSD,2020-01-08,0.9936067197,8876423.44778296,1030.41,8933538.06,Crypto-backed/Algorithmic,-0.007167379933654737,NA,0.0063932802999999705
BUSD,2020-01-09,1.0001534313,23962998.1920228,16874484.75,23959322.08,Fiat-backed,-0.007279307786954855,NA,1.534313000000065e-4
Tether USDt,2020-01-09,1.0014621334,4632826679.17966,34207037021.59,4626062758.45,Fiat-backed,-0.005090520788511097,NA,0.0014621334000000097
TrueUSD,2020-01-09,1.0009569391,149062479.911545,596123191.72,148919972.57,Fiat-backed,-0.007143612258437193,NA,9.569390999999428e-4
USDC,2020-01-09,1.0008216177,444501900.19531,350097573.03,444136989.39,Fiat-backed,-0.006184942742192817,NA,8.216176999999991e-4
sUSD,2020-01-09,0.9927076177,8848048.41683513,1157.15,8913045.75,Crypto-backed/Algorithmic,-9.052968550614842e-4,NA,0.0072923822999999555
BUSD,2020-01-10,1.0020084491,24007443.1616816,10377786.43,23959322.08,Fiat-backed,0.0018530153320290052,NA,0.002008449100000087
Tether USDt,2020-01-10,1.0000911242,4626484304.57805,31049760361.28,4626062758.45,Fiat-backed,-0.0013699454753097057,NA,9.112419999990351e-5
TrueUSD,2020-01-10,1.0040078589,149635788.457228,354064339.87,149038463.33,Fiat-backed,0.003043367302873693,NA,0.004007858900000105
USDC,2020-01-10,1.0025292799,447244753.97457,287180029.2,446116400.74,Fiat-backed,0.0017048062979247,NA,0.00252927990000007
sUSD,2020-01-10,0.9890746944,8380983.18641749,6824.42,8473559.41,Crypto-backed/Algorithmic,-0.003666323336599962,NA,0.010925305600000046
BUSD,2020-01-11,1.0029297165,24029516.1038032,8552238.7,23959322.08,Fiat-backed,9.189983817408335e-4,NA,0.002929716499999957
Tether USDt,2020-01-11,1.0024777822,4637604060.08663,27250055613.29,4626141489.19,Fiat-backed,0.0023835975105404254,NA,0.002477782199999945
TrueUSD,2020-01-11,1.0058282305,150294644.496994,511307123.22,149423768.33,Fiat-backed,0.0018114632405906252,NA,0.00582823049999992
USDC,2020-01-11,1.0043180122,447479871.967887,330297498.44,445555955.93,Fiat-backed,0.0017826296806167264,NA,0.004318012199999943
sUSD,2020-01-11,0.9836486572,8225979.1363727,9362.64,8362720.85,Crypto-backed/Algorithmic,-0.005501076346140222,NA,0.016351342799999946
BUSD,2020-01-12,1.0039262842,23355921.90117,6559770.66,23264578.55,Fiat-backed,9.931632180565889e-4,NA,0.003926284200000074
Tether USDt,2020-01-12,1.003346925,4642166645.08576,26468467999.59,4626681489.19,Fiat-backed,8.666189535666182e-4,NA,0.0033469250000000006
TrueUSD,2020-01-12,1.0060056014,147692190.91195,595176772.13,146810505.53,Fiat-backed,1.7632758495985122e-4,NA,0.00600560140000006
USDC,2020-01-12,1.0043191338,444665324.500005,343177235.07,442753014.98,Fiat-backed,1.116777116466451e-6,NA,0.00431913379999993
sUSD,2020-01-12,0.9924391389,8316638.26909711,1501.03,8379998.27,Crypto-backed/Algorithmic,0.008896912071943262,NA,0.007560861099999983
BUSD,2020-01-13,1.0020144234,22688859.6440816,31457555.68,22643246.56,Fiat-backed,-0.001906199292598569,NA,0.0020144233999999095
Tether USDt,2020-01-13,1.0018207896,4635105702.54178,57687160760.57,4626681489.19,Fiat-backed,-0.0015222025405376139,NA,0.0018207895999999835
TrueUSD,2020-01-13,1.0047673788,149299495.099837,706160284.4,148591105.01,Fiat-backed,-0.0012315888155502593,NA,0.0047673787999999995
USDC,2020-01-13,1.0023706358,428644820.760047,469120389.07,427631063.24,Fiat-backed,-0.0019420028366065618,NA,0.002370635799999965
sUSD,2020-01-13,0.9862245647,6990706.33362572,8442.8,7088351.46,Crypto-backed/Algorithmic,-0.006281607757340548,NA,0.013775435300000027
BUSD,2020-01-14,1.0001224065,20057980.7640068,24048475.52,20055525.84,Fiat-backed,-0.001889998160914223,NA,1.224065000000607e-4
Tether USDt,2020-01-14,0.9996561929,4631431379.63531,49045902728.23,4633024246.29,Fiat-backed,-0.0021630001872226523,NA,3.4380710000003756e-4
TrueUSD,2020-01-14,1.0019897903,148041313.54027,352040388.27,147747327.34,Fiat-backed,-0.0027682375491395296,NA,0.001989790299999905
USDC,2020-01-14,1.0011654343,446693203.019053,493412531.26,446173217.45,Fiat-backed,-0.0012030745673632611,NA,0.0011654343000000456
sUSD,2020-01-14,0.9767100313,7942560.09460191,5572.47,8131953.03,Crypto-backed/Algorithmic,-0.009694268910450509,NA,0.023289968699999997
BUSD,2020-01-15,1.0006375629,18705447.1472132,14683140.18,18693528.85,Fiat-backed,5.149607341839807e-4,NA,6.375628999999439e-4
Tether USDt,2020-01-15,0.9992305684,4633460370.17039,40752742738.55,4637028246.29,Fiat-backed,-4.2586154921119327e-4,NA,7.694315999999812e-4
TrueUSD,2020-01-15,1.0015586235,148119523.798307,507266039.93,147889020.5,Fiat-backed,-4.3040318235998106e-4,NA,0.0015586235000000226
USDC,2020-01-15,1.0026680476,445192682.206269,430662073.64,444008047.62,Fiat-backed,0.0014997389705428796,NA,0.0026680476000000564
sUSD,2020-01-15,0.9924538382,8013554.18863927,1087.19,8074485.56,Crypto-backed/Algorithmic,0.0159906878441819,NA,0.007546161800000006
BUSD,2020-01-16,1.003872905,25583326.9064006,27046579.49,25484627.36,Fiat-backed,0.003228064867980313,NA,0.0038729049999999265
Tether USDt,2020-01-16,1.0028792992,4650379638.00874,47263851458.06,4637028246.29,Fiat-backed,0.0036448897221502173,NA,0.002879299199999963
TrueUSD,2020-01-16,1.0042475629,146093273.059204,722580924.72,145475357.33,Fiat-backed,0.002681157361106999,NA,0.004247562900000057
USDC,2020-01-16,1.0045229537,438515036.78713,479116540.18,436540583.94,Fiat-backed,0.0018482612036814423,NA,0.004522953699999999
sUSD,2020-01-16,0.9890131924,6644152.86778698,852.61,6717961.82,Crypto-backed/Algorithmic,-0.0034728301857882187,NA,0.010986807600000037
BUSD,2020-01-17,1.0028512882,25557291.3806496,20869912.6,25484627.36,Fiat-backed,-0.001018193622942793,NA,0.002851288200000024
Tether USDt,2020-01-17,1.0027412874,4649919501.75989,43805026249.89,4637207582.95,Fiat-backed,-1.376250335082867e-4,NA,0.0027412873999999032
TrueUSD,2020-01-17,1.002919242,144424180.670241,462358569.84,144003798.74,Fiat-backed,-0.0013235781806242,NA,0.002919241999999933
USDC,2020-01-17,1.0053200143,440548198.62829,413666367.47,438216878.57,Fiat-backed,7.93157131652974e-4,NA,0.005320014300000064
sUSD,2020-01-17,0.9820305545,6855299.49432835,7325.74,6980739.51,Crypto-backed/Algorithmic,-0.007085248231645421,NA,0.017969445500000014
BUSD,2020-01-18,1.0003112681,25492559.9149024,21625113.68,25484627.36,Fiat-backed,-0.002536011322022194,NA,3.1126809999992844e-4
Tether USDt,2020-01-18,0.9985348656,4630413450.60838,42680566067.21,4637207582.95,Fiat-backed,-0.004203745683139745,NA,0.0014651343999999566
TrueUSD,2020-01-18,1.0015003294,143488019.707094,406833799.73,143273062.92,Fiat-backed,-0.0014157842572050448,NA,0.0015003294
USDC,2020-01-18,0.9972901415,436777174.97579,423373606.71,437963995.44,Fiat-backed,-0.008019449827694638,NA,0.002709858500000051
sUSD,2020-01-18,0.9750439274,6525417.47233588,12802.31,6692434.35,Crypto-backed/Algorithmic,-0.0071398987059884894,NA,0.02495607259999999
BUSD,2020-01-19,1.0023876557,34472714.7317746,13827741.45,34390601.81,Fiat-backed,0.0020735901131463254,NA,0.002387655699999991
Tether USDt,2020-01-19,1.0006875369,4640395834.41417,33079894465.8,4637207582.95,Fiat-backed,0.002153509413704239,NA,6.875368999998965e-4
TrueUSD,2020-01-19,1.0006937409,142392966.796381,672138813.61,142294251.46,Fiat-backed,-8.057046573040518e-4,NA,6.937409000000727e-4
USDC,2020-01-19,1.0008032002,438632394.722016,343768615.93,438280367.83,Fiat-backed,0.003516414620525184,NA,8.032002000000205e-4
sUSD,2020-01-19,0.9761935594,6329438.01567395,549.61,6483794.07,Crypto-backed/Algorithmic,0.0011783620812974309,NA,0.023806440600000034
BUSD,2020-01-20,1.0027379109,26955414.1430064,15017622.33,26881814.13,Fiat-backed,3.4935986992222794e-4,NA,0.0027379109000000845
