"value","value_classification","timestamp","time_until_update"
30,"Fear",2018-02-01,NA
15,"Extreme Fear",2018-02-02,NA
40,"Fear",2018-02-03,NA
24,"Extreme Fear",2018-02-04,NA
11,"Extreme Fear",2018-02-05,NA
8,"Extreme Fear",2018-02-06,NA
36,"Fear",2018-02-07,NA
30,"Fear",2018-02-08,NA
44,"Fear",2018-02-09,NA
54,"Neutral",2018-02-10,NA
31,"Fear",2018-02-11,NA
42,"Fear",2018-02-12,NA
35,"Fear",2018-02-13,NA
55,"Greed",2018-02-14,NA
71,"Greed",2018-02-15,NA
67,"Greed",2018-02-16,NA
74,"Greed",2018-02-17,NA
63,"Greed",2018-02-18,NA
67,"Greed",2018-02-19,NA
74,"Greed",2018-02-20,NA
54,"Neutral",2018-02-21,NA
44,"Fear",2018-02-22,NA
39,"Fear",2018-02-23,NA
31,"Fear",2018-02-24,NA
33,"Fear",2018-02-25,NA
37,"Fear",2018-02-26,NA
44,"Fear",2018-02-27,NA
41,"Fear",2018-02-28,NA
38,"Fear",2018-03-01,NA
47,"Neutral",2018-03-02,NA
56,"Greed",2018-03-03,NA
44,"Fear",2018-03-04,NA
55,"Greed",2018-03-05,NA
59,"Greed",2018-03-06,NA
37,"Fear",2018-03-07,NA
39,"Fear",2018-03-08,NA
37,"Fear",2018-03-09,NA
39,"Fear",2018-03-10,NA
40,"Fear",2018-03-11,NA
41,"Fear",2018-03-12,NA
41,"Fear",2018-03-13,NA
40,"Fear",2018-03-14,NA
32,"Fear",2018-03-15,NA
33,"Fear",2018-03-16,NA
31,"Fear",2018-03-17,NA
29,"Fear",2018-03-18,NA
29,"Fear",2018-03-19,NA
37,"Fear",2018-03-20,NA
36,"Fear",2018-03-21,NA
36,"Fear",2018-03-22,NA
28,"Fear",2018-03-23,NA
32,"Fear",2018-03-24,NA
30,"Fear",2018-03-25,NA
31,"Fear",2018-03-26,NA
24,"Extreme Fear",2018-03-27,NA
24,"Extreme Fear",2018-03-28,NA
18,"Extreme Fear",2018-03-29,NA
12,"Extreme Fear",2018-03-30,NA
16,"Extreme Fear",2018-03-31,NA
16,"Extreme Fear",2018-04-01,NA
11,"Extreme Fear",2018-04-02,NA
22,"Extreme Fear",2018-04-03,NA
22,"Extreme Fear",2018-04-04,NA
17,"Extreme Fear",2018-04-05,NA
19,"Extreme Fear",2018-04-06,NA
20,"Extreme Fear",2018-04-07,NA
17,"Extreme Fear",2018-04-08,NA
21,"Extreme Fear",2018-04-09,NA
18,"Extreme Fear",2018-04-10,NA
20,"Extreme Fear",2018-04-11,NA
18,"Extreme Fear",2018-04-12,NA
23,"Extreme Fear",2018-04-13,NA
26,"Fear",2018-04-17,NA
24,"Extreme Fear",2018-04-18,NA
25,"Extreme Fear",2018-04-19,NA
26,"Fear",2018-04-20,NA
32,"Fear",2018-04-21,NA
31,"Fear",2018-04-22,NA
28,"Fear",2018-04-23,NA
29,"Fear",2018-04-24,NA
64,"Greed",2018-04-25,NA
47,"Neutral",2018-04-26,NA
55,"Greed",2018-04-27,NA
54,"Neutral",2018-04-28,NA
61,"Greed",2018-04-29,NA
59,"Greed",2018-04-30,NA
56,"Greed",2018-05-01,NA
52,"Neutral",2018-05-02,NA
55,"Greed",2018-05-03,NA
56,"Greed",2018-05-04,NA
63,"Greed",2018-05-05,NA
67,"Greed",2018-05-06,NA
56,"Greed",2018-05-07,NA
62,"Greed",2018-05-08,NA
53,"Neutral",2018-05-09,NA
63,"Greed",2018-05-10,NA
41,"Fear",2018-05-11,NA
44,"Fear",2018-05-12,NA
40,"Fear",2018-05-13,NA
40,"Fear",2018-05-14,NA
40,"Fear",2018-05-15,NA
32,"Fear",2018-05-16,NA
31,"Fear",2018-05-17,NA
37,"Fear",2018-05-18,NA
31,"Fear",2018-05-19,NA
32,"Fear",2018-05-20,NA
41,"Fear",2018-05-21,NA
30,"Fear",2018-05-22,NA
26,"Fear",2018-05-23,NA
27,"Fear",2018-05-24,NA
25,"Extreme Fear",2018-05-25,NA
23,"Extreme Fear",2018-05-26,NA
19,"Extreme Fear",2018-05-27,NA
22,"Extreme Fear",2018-05-28,NA
16,"Extreme Fear",2018-05-29,NA
38,"Fear",2018-05-30,NA
25,"Extreme Fear",2018-05-31,NA
24,"Extreme Fear",2018-06-01,NA
27,"Fear",2018-06-02,NA
40,"Fear",2018-06-03,NA
41,"Fear",2018-06-04,NA
26,"Fear",2018-06-05,NA
42,"Fear",2018-06-06,NA
38,"Fear",2018-06-07,NA
40,"Fear",2018-06-08,NA
39,"Fear",2018-06-09,NA
24,"Extreme Fear",2018-06-10,NA
15,"Extreme Fear",2018-06-11,NA
19,"Extreme Fear",2018-06-12,NA
19,"Extreme Fear",2018-06-13,NA
17,"Extreme Fear",2018-06-14,NA
26,"Fear",2018-06-15,NA
22,"Extreme Fear",2018-06-16,NA
23,"Extreme Fear",2018-06-17,NA
27,"Fear",2018-06-18,NA
32,"Fear",2018-06-19,NA
34,"Fear",2018-06-20,NA
37,"Fear",2018-06-21,NA
28,"Fear",2018-06-22,NA
17,"Extreme Fear",2018-06-23,NA
15,"Extreme Fear",2018-06-24,NA
16,"Extreme Fear",2018-06-25,NA
21,"Extreme Fear",2018-06-26,NA
18,"Extreme Fear",2018-06-27,NA
20,"Extreme Fear",2018-06-28,NA
16,"Extreme Fear",2018-06-29,NA
22,"Extreme Fear",2018-06-30,NA
27,"Fear",2018-07-01,NA
27,"Fear",2018-07-02,NA
31,"Fear",2018-07-03,NA
33,"Fear",2018-07-04,NA
37,"Fear",2018-07-05,NA
34,"Fear",2018-07-06,NA
34,"Fear",2018-07-07,NA
38,"Fear",2018-07-08,NA
39,"Fear",2018-07-09,NA
37,"Fear",2018-07-10,NA
29,"Fear",2018-07-11,NA
33,"Fear",2018-07-12,NA
29,"Fear",2018-07-13,NA
29,"Fear",2018-07-14,NA
32,"Fear",2018-07-15,NA
36,"Fear",2018-07-16,NA
39,"Fear",2018-07-17,NA
42,"Fear",2018-07-18,NA
44,"Fear",2018-07-19,NA
47,"Neutral",2018-07-20,NA
43,"Fear",2018-07-21,NA
46,"Fear",2018-07-22,NA
44,"Fear",2018-07-23,NA
49,"Neutral",2018-07-24,NA
54,"Neutral",2018-07-25,NA
53,"Neutral",2018-07-26,NA
47,"Neutral",2018-07-27,NA
54,"Neutral",2018-07-28,NA
54,"Neutral",2018-07-29,NA
53,"Neutral",2018-07-30,NA
48,"Neutral",2018-07-31,NA
39,"Fear",2018-08-01,NA
39,"Fear",2018-08-02,NA
36,"Fear",2018-08-03,NA
31,"Fear",2018-08-04,NA
23,"Extreme Fear",2018-08-05,NA
25,"Extreme Fear",2018-08-06,NA
25,"Extreme Fear",2018-08-07,NA
23,"Extreme Fear",2018-08-08,NA
19,"Extreme Fear",2018-08-09,NA
21,"Extreme Fear",2018-08-10,NA
18,"Extreme Fear",2018-08-11,NA
18,"Extreme Fear",2018-08-12,NA
21,"Extreme Fear",2018-08-13,NA
16,"Extreme Fear",2018-08-14,NA
18,"Extreme Fear",2018-08-15,NA
21,"Extreme Fear",2018-08-16,NA
19,"Extreme Fear",2018-08-17,NA
24,"Extreme Fear",2018-08-18,NA
27,"Fear",2018-08-19,NA
26,"Fear",2018-08-20,NA
19,"Extreme Fear",2018-08-21,NA
21,"Extreme Fear",2018-08-22,NA
18,"Extreme Fear",2018-08-23,NA
19,"Extreme Fear",2018-08-24,NA
22,"Extreme Fear",2018-08-25,NA
19,"Extreme Fear",2018-08-26,NA
18,"Extreme Fear",2018-08-27,NA
19,"Extreme Fear",2018-08-28,NA
19,"Extreme Fear",2018-08-29,NA
22,"Extreme Fear",2018-08-30,NA
17,"Extreme Fear",2018-08-31,NA
21,"Extreme Fear",2018-09-01,NA
18,"Extreme Fear",2018-09-02,NA
19,"Extreme Fear",2018-09-03,NA
26,"Fear",2018-09-04,NA
17,"Extreme Fear",2018-09-05,NA
14,"Extreme Fear",2018-09-06,NA
