"Date","Total_Stable_Cap"
2024-01-01,129859457422
2024-01-02,130383535367
2024-01-03,130519519721
2024-01-04,131058332221
2024-01-05,131747014371
2024-01-06,132162262901
2024-01-07,132540969560
2024-01-08,132468055239
2024-01-09,132747450537
2024-01-10,132718468383
2024-01-11,133174089322
2024-01-12,133492919418
2024-01-13,132848084114
2024-01-14,133483939213
2024-01-15,133643690196
2024-01-16,133328810363
2024-01-17,133303152738
2024-01-18,133838153607
2024-01-19,133212160698
2024-01-20,133382766867
2024-01-21,133601080444
2024-01-22,133323162976
2024-01-23,133469762719
2024-01-24,134264178990
2024-01-25,134096302686
2024-01-26,134283564758
2024-01-27,134504985266
2024-01-28,134577707161
2024-01-29,134639409625
2024-01-30,134961628533
2024-01-31,134774487698
2024-02-01,134810889312
2024-02-02,135182189276
2024-02-03,135156862056
2024-02-04,135114784659
2024-02-05,135192933985
2024-02-06,135037122383
2024-02-07,135376172995
2024-02-08,135691616402
2024-02-09,135990760111
2024-02-10,136216578607
2024-02-11,136487499462
2024-02-12,136712929476
2024-02-13,136308364561
2024-02-14,136494948959
2024-02-15,137454984610
2024-02-16,137286546850
2024-02-17,137643068398
2024-02-18,137833718894
2024-02-19,137729551309
2024-02-20,137733094582
2024-02-21,137830847596
2024-02-22,137864502674
2024-02-23,138222591671
2024-02-24,138844487107
2024-02-25,138604888095
2024-02-26,138717009231
2024-02-27,139171411289
2024-02-28,139745563867
2024-02-29,140219483545
2024-03-01,140771887477
2024-03-02,141327289263
2024-03-03,141416665777
2024-03-04,141814692822
2024-03-05,142022023732
2024-03-06,142187077061
2024-03-07,142510030337
2024-03-08,143027623142
2024-03-09,144231334178
2024-03-10,144529954882
2024-03-11,144758505698
2024-03-12,145499453854
2024-03-13,145754493537
2024-03-14,146558119311
2024-03-15,146828439516
2024-03-16,146743921596
2024-03-17,146876265044
2024-03-18,146550073394
2024-03-19,147255744345
2024-03-20,147644219456
2024-03-21,147164755910
2024-03-22,147728792148
2024-03-23,147773831456
2024-03-24,148106198281
2024-03-25,147928095798
2024-03-26,149255042173
2024-03-27,149550503421
2024-03-28,149509029523
2024-03-29,149754480031
2024-03-30,149961299512
2024-03-31,150193422084
2024-04-01,149929008420
2024-04-02,150352360852
2024-04-03,151003445464
2024-04-04,152385591005
2024-04-05,153261138879
2024-04-06,154361665751
2024-04-07,154389293646
2024-04-08,154165741442
2024-04-09,154194431925
2024-04-10,153988841857
2024-04-11,153698116691
2024-04-12,154295198853
2024-04-13,154501512423
2024-04-14,155113141580
2024-04-15,155140490618
2024-04-16,155686992301
2024-04-17,156678799557
2024-04-18,154386300345
2024-04-19,157622908528
2024-04-20,156298771467
2024-04-21,156414822154
2024-04-22,158592308619
2024-04-23,159144341338
2024-04-24,159087665433
2024-04-25,159628474575
2024-04-26,159669250332
2024-04-27,159460408109
2024-04-28,159635488627
2024-04-29,159629015966
2024-04-30,159351506461
2024-05-01,159511423624
2024-05-02,159147948330
2024-05-03,159283121311
2024-05-04,159923840868
2024-05-05,160223280010
2024-05-06,160208899730
2024-05-07,160155737430
2024-05-08,159899088181
2024-05-09,159791335824
2024-05-10,159836302986
2024-05-11,159627637026
2024-05-12,159758925132
2024-05-13,159715868217
2024-05-14,159807398413
2024-05-15,159587414539
2024-05-16,160154657934
2024-05-17,160297770834
2024-05-18,160546420835
2024-05-19,160883125228
2024-05-20,160837532395
2024-05-21,160541672825
2024-05-22,160615860858
2024-05-23,160666393708
2024-05-24,160481010198
2024-05-25,160840074479
2024-05-26,160842185004
2024-05-27,160545664693
2024-05-28,160460410323
2024-05-29,160205854637
2024-05-30,159870652889
2024-05-31,160281823610
2024-06-01,160404173099
2024-06-02,160458331023
2024-06-03,160235408255
2024-06-04,160562612199
2024-06-05,160847562893
2024-06-06,161037854885
2024-06-07,161186293849
2024-06-08,161510433864
2024-06-09,161556342510
2024-06-10,161609542268
2024-06-11,161282870103
2024-06-12,161106382662
2024-06-13,161366264893
2024-06-14,161457126342
2024-06-15,161514830531
2024-06-16,161245180377
2024-06-17,161338151448
2024-06-18,161175143284
2024-06-19,161626331989
2024-06-20,161415971304
2024-06-21,161519610218
2024-06-22,161802128537
2024-06-23,161819802934
2024-06-24,161534043233
2024-06-25,161480169058
2024-06-26,161508060337
2024-06-27,161544966368
2024-06-28,161450403062
2024-06-29,161206848738
2024-06-30,161187235192
2024-07-01,160945037917
2024-07-02,161152098386
2024-07-03,161070872276
2024-07-04,161139126656
2024-07-05,161468357980
2024-07-06,161833630712
2024-07-07,161904968370
2024-07-08,161926295956
2024-07-09,161932628980
2024-07-10,162233807164
2024-07-11,162689450789
2024-07-12,162661908303
2024-07-13,162371731867
2024-07-14,162650575745
2024-07-15,163049763892
2024-07-16,163122301832
2024-07-17,163413061236
2024-07-18,163588206114
2024-07-19,163576284310
2024-07-20,164527516163
2024-07-21,164530568555
2024-07-22,164523908156
2024-07-23,164634383035
2024-07-24,164856853485
2024-07-25,164686391474
2024-07-26,164238783590
2024-07-27,164475350506
2024-07-28,164648418598
2024-07-29,164627073159
2024-07-30,164268357800
2024-07-31,164232620461
2024-08-01,164178253681
2024-08-02,163783124544
2024-08-03,163897394878
2024-08-04,163972499496
2024-08-05,164120959593
2024-08-06,164201344493
2024-08-07,164677308491
2024-08-08,166304815910
2024-08-09,165938485230
2024-08-10,166159933835
2024-08-11,165770346674
2024-08-12,166192290482
2024-08-13,166565469632
2024-08-14,166900785806
2024-08-15,167536872580
2024-08-16,167765770407
2024-08-17,168369225408
2024-08-18,168460010364
2024-08-19,168443132874
2024-08-20,168416129350
2024-08-21,168848538831
2024-08-22,169118178408
2024-08-23,169263047176
2024-08-24,169883581761
2024-08-25,170231397636
2024-08-26,170213266598
2024-08-27,169955364574
2024-08-28,169890982038
2024-08-29,170115356302
2024-08-30,170334445516
2024-08-31,170248452260
2024-09-01,169946916929
2024-09-02,170418397905
2024-09-03,170283831087
2024-09-04,169910551827
2024-09-05,170232423696
2024-09-06,169941539563
2024-09-07,169904818165
2024-09-08,170163319428
2024-09-09,170133481632
2024-09-10,170806850679
2024-09-11,170674813534
2024-09-12,170692881346
2024-09-13,170468448193
2024-09-14,171234624229
2024-09-15,171910975770
2024-09-16,171562484162
2024-09-17,171199690562
2024-09-18,171799005815
2024-09-19,172020046369
2024-09-20,171919152412
2024-09-21,172497426341
2024-09-22,172739970103
2024-09-23,172650832914
2024-09-24,172551430742
2024-09-25,172581260290
2024-09-26,172812618623
2024-09-27,173266001056
2024-09-28,173009394186
2024-09-29,173035277050
2024-09-30,173024265161
2024-10-01,172378242597
2024-10-02,172789567579
2024-10-03,172914918087
2024-10-04,172780036783
2024-10-05,172815426984
2024-10-06,173598107084
2024-10-07,172376510574
2024-10-08,172954814246
2024-10-09,173044523995
2024-10-10,173082822344
2024-10-11,172703121103
