Variable,Missing_Pct
sigma_dev_30d_lag1,1.87
sigma_dev_30d,1.81
log_ret,0.06
dev_abs_lag1,0.06
log_volume_lag1,0.06
illiq_lag1,0.06
BTC_Realized_Daily_Volatility_lag1,0.06
ETH_percent_change_24h_lag1,0.06
stable_mcap_logret_lag1,0.06
fear_greed_index_lag1,0.06
date,0
coin,0
close,0
volume,0
market_cap,0
circ_supply,0
backing_type,0
dev_abs,0
log_volume,0
illiq,0
BTC_Realized_Daily_Volatility,0
BTC_percent_change_24h,0
ETH_Realized_Daily_Volatility,0
ETH_percent_change_24h,0
stable_mcap_logret,0
fear_greed_index,0
dummy_crypto,0
depeg_005,0
depeg_0075,0
depeg_01,0
depeg_static,0
usable_m1,0
usable_m2,0
usable_m3,0
usable_m4,0
usable_m5,0
dummy,0
